Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2023-03-09T12:39:38.380+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-822, 77, 62)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T12:39:41.229+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-822, 77, 58)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T13:42:26.981+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-749, 77, 592)
(-796, 77, 592)","CREATE","{}","{
  ""type"": ""IRON"",
  ""one_way"": true
}"
"2023-03-09T13:44:22.659+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-749, 77, 592)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T13:44:35.257+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-757, 77, 592)
(-796, 77, 592)","CREATE","{}","{
  ""type"": ""IRON"",
  ""one_way"": true
}"
"2023-03-09T13:45:19.308+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-757, 77, 592)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T13:51:06.910+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-796, 77, 592)
(-922, 77, 492)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-09T14:00:16.014+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-796, 77, 592)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T14:03:31.579+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-922, 77, 492)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:02:19.313+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-820, 78, 62)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:02:24.504+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-749, 78, 62)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:03:01.044+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-745, 78, 62)
(-824, 78, 62)","CREATE","{}","{
  ""type"": ""IRON"",
  ""one_way"": false
}"
"2023-03-09T17:03:03.502+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-727, 78, 62)
(-745, 78, 62)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:03:06.462+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-698, 78, 62)
(-727, 78, 62)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-09T17:03:09.409+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-679, 78, 62)
(-698, 78, 62)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-09T17:03:13.847+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-684, 78, 58)
(-698, 78, 58)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-09T17:03:17.247+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-698, 78, 58)
(-727, 78, 58)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-09T17:03:19.406+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-727, 78, 58)
(-745, 78, 58)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:03:24.802+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-745, 78, 58)
(-824, 78, 58)","CREATE","{}","{
  ""type"": ""IRON"",
  ""one_way"": false
}"
"2023-03-09T17:04:43.298+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-824, 78, 62)
(-868, 78, 72)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:04:54.051+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-868, 78, 72)
(-920, 78, 157)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:08:29.500+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-920, 78, 157)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:08:37.303+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-868, 78, 72)
(-920, 78, 169)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:08:45.103+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-920, 78, 169)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:08:51.705+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-896, 78, 94)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:09:03.449+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-868, 78, 72)
(-896, 78, 93)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:09:13.401+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-896, 78, 93)
(-916, 78, 128)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:09:21.352+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-916, 78, 128)
(-920, 78, 161)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-09T17:09:27.200+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-920, 78, 161)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-09T17:09:36.855+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-916, 78, 128)
(-920, 78, 164)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
