Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2023-03-08T15:45:13.298+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-578, 64, 429)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T15:45:13.647+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-578, 64, 428)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T18:15:00.045+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Station","[-445032311621033894]","西苑一号行星发动机  一号线","","DELETE","{
  ""id"": -445032311621033894,
  ""transport_mode"": ""TRAIN"",
  ""name"": ""西苑一号行星发动机||一号线"",
  ""color"": 16711680,
  ""x_min"": 437,
  ""z_min"": 477,
  ""x_max"": 493,
  ""z_max"": 504,
  ""zone"": 0,
  ""exits"": {}
}","{}"
"2023-03-08T18:15:10.620+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Station","[1530782550013710926]","","","CREATE","{}","{
  ""id"": 1530782550013710926,
  ""transport_mode"": ""TRAIN"",
  ""name"": """",
  ""color"": 0,
  ""x_min"": 102,
  ""z_min"": 242,
  ""x_max"": 130,
  ""z_max"": 300,
  ""zone"": 0,
  ""exits"": {}
}"
"2023-03-08T18:15:26.502+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Station","[1530782550013710926]","西苑一号行星发动机","","EDIT","{
  ""name"": """",
  ""color"": 0
}","{
  ""name"": ""西苑一号行星发动机"",
  ""color"": 16711680
}"
"2023-03-08T20:39:16.551+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-366, 64, 587)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T20:39:19.940+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-361, 64, 591)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:09:29.353+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-308, 65, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:09:34.203+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-358, 65, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:09:36.956+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-363, 65, 590)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:09:41.705+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-313, 65, 590)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:16:36.658+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-358, 64, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:16:37.859+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-363, 64, 590)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T21:20:21.259+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-308, 65, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:13:40.745+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-308, 65, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:16:51.146+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-313, 65, 590)
(-363, 65, 590)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2023-03-08T22:16:54.898+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-308, 65, 594)
(-357, 65, 594)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2023-03-08T22:24:40.403+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-404, 65, 594)
(-436, 65, 594)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:24:43.050+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-380, 65, 594)
(-404, 65, 594)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-08T22:24:45.607+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-357, 65, 594)
(-380, 65, 594)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:24:48.051+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-363, 65, 590)
(-380, 65, 590)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:24:50.952+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-380, 65, 590)
(-404, 65, 590)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-08T22:24:55.051+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-404, 65, 590)
(-436, 65, 590)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:27:28.156+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-280, 65, 590)
(-313, 65, 590)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:27:31.304+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-280, 65, 594)
(-308, 65, 594)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:27:35.454+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-254, 65, 594)
(-280, 65, 594)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-08T22:27:39.053+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-254, 65, 590)
(-280, 65, 590)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": false
}"
"2023-03-08T22:27:43.303+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-223, 65, 594)
(-254, 65, 594)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:27:46.653+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-223, 65, 590)
(-254, 65, 590)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:36:11.357+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-116, 78, 592)
(-208, 64, 592)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:36:50.609+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-116, 78, 592)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:37:05.261+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-208, 64, 592)
(-82, 78, 592)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": false
}"
"2023-03-08T22:37:42.910+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-208, 65, 594)
(-82, 78, 594)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:38:04.609+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-208, 65, 590)
(-82, 78, 590)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:38:51.110+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-32, 78, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:38:56.260+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-82, 78, 594)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:38:57.460+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-82, 78, 590)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:38:57.911+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.block.BlockNode","","","(-82, 78, 592)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-03-08T22:39:10.210+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-208, 65, 594)
(-32, 78, 594)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
"2023-03-08T22:39:22.220+08:00","CQN2022","a04d1cbf-87a8-43d6-b545-7c42660da7d0","mtr.data.Rail","","","(-208, 65, 590)
(-32, 78, 590)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": false
}"
